brand,product_name,finish,skin_type,price_range,ingredients,ingredients_source,fragrance_free,hypoallergenic,derm_tested,where_to_buy,open_beauty_facts_url,source
Algenist,REVEAL Color Correcting Radiant Primer,dewy,"[""seco""]",$35-$39,Water- Dodecane- Hexyl Laurate- Triethylhexanoin- Steareth-2- Mannitol- Steareth-21- Butylene Glycol- Glyceryl Stearate- Glycerin- Sorbitan Sesquioleate- Chlorella Protothecoides Oil- Algae Exopolysaccharides- Pongamia Glabra Seed Oil- Dunaliella Salina Extract- Haematococcus Pluvialis Extract- Halidrys Siliquosa Extract- Chondrus Crispus Extract- Aphanizomenon Flos-Aquae Extract- Algae Extract- Phaeodactylum Tricornutum Extract- Lysine- Olea Europaea (Olive) Fruit Oil- Tocopheryl Acetate- Evodia Rutaecarpa Fruit Extract- Magnesium Chloride- Hydrogenated Starch Hydrolysate- Cellulose- Dimethicone- Carbomer- Hydrogenated Lecithin- Polymethyl Methacrylate- Sodium Hydroxide- BHT- Disodium EDTA- Propanediol- Arginine PCA- Hydroxypropyl Methylcellulose- Citric Acid- Aluminum Hydroxide- Zinc Chloride- Galactoarabinan- Potassium Chloride- Sodium Chloride- Sodium Benzoate- Potassium Sorbate- Dehydroacetic Acid- Benzyl Alcohol- Phenoxyethanol- Beta-Carotene (CI 40800)- Iron Oxides (CI 77491- CI 77492- CI 77499)- Titanium Dioxide (CI 77891).,sephora,,,,https://www.sephora.com/product/reveal-color-correcting-radiant-primer-P406543?icid2=products grid:p406543,,sephora/open-dataset
Armani Beauty,Fluid Master Primer,dewy,"[""normal"", ""misto""]",$40-$44,-Synthetic Fibers,sephora,,,,https://www.sephora.com/product/fluid-master-primer-P393407?icid2=products grid:p393407,,sephora/open-dataset
Armani Beauty,Luminous Silk Hydrating Primer,hydrating,"[""seco""]",$40-$44,Aqua/Water- Cyclopentasiloxane- Glycerin- Dimethicone- Peg-10 Dimethicone- Bis-Peg/Ppg-14/14 Dimethicone- Isododecane- Hydrogenated Starch Hydrolysate- Sodium Chloride- Caprylic/Capric Triglyceride- Tribehenin- Dimethicone/Polyglycerin-3 Crosspolymer- Phenoxyethanol- Caprylyl Glycol- Mica- Ci 77891 / Titanium Dioxide- Disteardimonium Hectorite- Ethylhexylglycerin- Ethyl Menthane Carboxamide- Propylene Glycol- Propylene Carbonate- Dipropylene Glycol- Tin Oxide- Rosa Gallica Flower Extract- Sorbitol- Ci 19140 / Yellow 5- Ci 14700 / Red 4- Tocopherol.,sephora,,,,https://www.sephora.com/product/luminous-silk-hydrating-primer-P449793?icid2=products grid:p449793,,sephora/open-dataset
BECCA,Backlight Priming Filter Face Primer,dewy,"[""normal"", ""misto""]",$35-$39,-Backlight Technology: Instantly blurs the look of imperfections and creates a visibly lit-from-within glow.-Vitamin E: Nourishes skin. Water\Aqua\Eau- Ethylhexyl Palmitate- Glycerin- Caprylic/Capric Triglyceride- Carbomer- Ethylhexylglycerin- Sodium Hydroxide- Silica- Tocopheryl Acetate- Panthenol- Glycyrrhiza Glabra (Licorice) Root Extract- Fragrance (Parfum)- Limonene- Coumarin- Linalool- Benzyl Benzoate- Butylphenyl Methylpropional- Citral- Disodium EDTA- BHT- Phenoxyethanol- Mica- Titanium Dioxide (Ci 77891)- Iron Oxides (Ci 77491).,sephora,False,,,https://www.sephora.com/product/backlight-priming-filter-P399831?icid2=products grid:p399831,,sephora/open-dataset
BECCA,Becca Primer Collection,hydrating,"[""oleoso"", ""misto"", ""seco""]",$35-$39,-Cool Light Technology: Instantly brightens and reduces the appearance of dullness for refreshed-looking. -Hyaluronic Acid: Moisturizes. -Vitamin E: Nourishes. Water\Aqua\Eau- Ethylhexyl Palmitate- Glycerin- Caprylic/Capric Triglyceride- Butylene Glycol- Sea Water\Aqua Maris\Maris Aqua- Ethylhexylglycerin- Zingiber Officinale (Ginger) Root Extract- Opuntia Ficus-Indica Stem Extract- Sodium Hyaluronate- Carbomer- Sodium Hydroxide- Tocopheryl Acetate- Benzimidazole Diamond Amidoethyl Urea Carbamoyl Propyl Polymethylsilsesquioxane- Silica- Menthyl Lactate- Fragrance (Parfum)- Citral- Limonene- Amyl Cinnamal- Linalool- Disodium Edta- Phenoxyethanol- Chlorphenesin- [+/- Mica- Titanium Dioxide (Ci 77891)- Ultramarines (Ci 77007)].,sephora,False,,,https://www.sephora.com/product/becca-primer-collection-P427619?icid2=products grid:p427619,,sephora/open-dataset
BECCA,Ever-Matte Poreless Priming Perfector,matte,"[""oleoso""]",$35-$39,Aqua- Magnesium Aluminum Silicate- Propylene Glycol- Enantia Chlorantha Bark Extract- Oleanolic Acid- Butylene Glycol- Phenoxyethanol- Methylparaben- Propylparaben.,sephora,,,,https://www.sephora.com/product/ever-matte-poreless-priming-perfector-P378017?icid2=products grid:p378017,,sephora/open-dataset
BECCA,First Light Priming Filter Face Primer,matte,"[""normal"", ""misto""]",$35-$39,-Cool Light Technology: Instantly brightens and reduces the appearance of dullness for refreshed-looking. -Hyaluronic Acid: Moisturizes. -Vitamin E: Nourishes. Water\Aqua\Eau- Ethylhexyl Palmitate- Glycerin- Caprylic/Capric Triglyceride- Butylene Glycol- Sea Water\Aqua Maris\Maris Aqua- Ethylhexylglycerin- Zingiber Officinale (Ginger) Root Extract- Opuntia Ficus-Indica Stem Extract- Sodium Hyaluronate- Carbomer- Sodium Hydroxide- Tocopheryl Acetate- Benzimidazole Diamond Amidoethyl Urea Carbamoyl Propyl Polymethylsilsesquioxane- Silica- Menthyl Lactate- Fragrance (Parfum)- Citral- Limonene- Amyl Cinnamal- Linalool- Disodium Edta- Phenoxyethanol- Chlorphenesin- [+/- Mica- Titanium Dioxide (Ci 77891)- Ultramarines (Ci 77007)].,sephora,False,,,https://www.sephora.com/product/first-light-priming-filter-P416055?icid2=products grid:p416055,,sephora/open-dataset
BECCA,Skin Love Brighten & Blur Primer,dewy,"[""normal"", ""misto""]",$35-$39,Water- Dimethicone/Vinyl Dimethicone Crosspolymer- Dimethicone- Glycerin- Butylene Glycol- Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer- Honey- Myristyl Myristate- DI-C12-15 Alkyl Fumarate- Mangifera Indica (Mango) Seed Butter- Acetylated Glycol Stearate- Butyrospermum Parkii (Shea Butter)- Acetyl Glucosamine- Hypnea Musciformis (Algae) Extract- Pisum Sativum (Pea) Extract- Hordeum Vulgare (Barley) Extract- Glycyrrhiza Glabra (Licorice) Leaf Extract- Sodium Polyacrylate- Algae Extract- Tocopheryl Acetate- Trehalose- Lycium Chinense (Wolfberry) Fruit Extract- Vaccinium Macrocarpon (Cranberry) Fruit Extract- Vaccinium Angustifolium (Blueberry) Fruit Extract- Sucrose- Sodium Stearoyl Glutamate- Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone- Caprylyl Glycol- Paeonia Suffruticosa (Peony) Root Extract- Sorbitol- Caffeine- Tocopherol- Gelidiella Acerosa Extract- Squalane- Sodium Hyaluronate- Dipotassium Glycyrrhizate- Glucosamine HCL- Laureth-9- Lecithin- Aminopropyl Ascorbyl Phosphate- Bambusa Vulgaris (Bamboo) Extract- Tromethamine- Hydrolyzed Rice Extract- Synthetic Fluorphlogopite- Triticum Vulgare (Wheat) Germ Extract- Molasses Extract\Saccharum Officinarum- Silica- Laminaria Saccharina Extract- Citric Acid- Triethoxycaprylylsilane- Yeast Extract\Faex- Tin Oxide- Ergothioneine- Fragrance- Linalool- Geraniol- Alpha-Isomethyl Ionone- Citronellol- Disodium EDTA- BHT- Phenoxyethanol- Potassium Sorbate- Titanium Dioxide (CI 77891)- Mica- Iron Oxides (Ci 77491).,sephora,False,,,https://www.sephora.com/product/skin-love-hydra-blur-brightening-primer-P442723?icid2=products grid:p442723,,sephora/open-dataset
Benefit Cosmetics,The POREfessional Face Primer,matte,"[""oleoso"", ""misto"", ""seco"", ""normal""]",$30-$34,Cyclopentasiloxane- Dimethicone- Dimethicone/Vinyl Dimethicone Crosspolymer- Isononyl Isononanoate- Silica- Dimethicone Crosspolymer- Isododecane- Phenoxyethanol- Polymethyl Methacrylate- Titanium Dioxide (Ci 77891)- Cyclohexasiloxane- Tocopheryl Acetate- Fragrance- Mica- Iron Oxides (Ci 77492- Ci 77491- Ci 77499)- Limonene- Triethoxycaprylylsilane- Bht- N 04932/N.,sephora,False,,,https://www.sephora.com/product/the-porefessional-face-primer-P264900?icid2=products grid:p264900,,sephora/open-dataset
Benefit Cosmetics,The POREfessional Pearl Primer,matte,"[""normal"", ""misto""]",$30-$34,Dimethicone- Cyclopentasiloxane- Dimethicone/Vinyl Dimethicone Crosspolymer- Isononyl Isononanoate- Dimethicone Crosspolymer- Isododecane- Silica- Polymethyl Methacrylate- Mica- Phenoxyethanol- Tocopheryl Acetate- Parfum (Fragrance)- Tin Oxide- Limonene- Triethoxycaprylylsilane- Bht- Tocopherol. May Contain (+/-): Yellow 5- Yellow 5 Lake (Ci 19140)- Blue 1 Lake (Ci 42090)- Ultramarines (Ci 77007)- Bismuth Oxychloride (Ci 77163)- Iron Oxides (Ci 77491- Ci 77492- Ci 77499)- Titanium Dioxide (Ci 77891).Please read the ingredient list on the packaging of your product to be sure that the ingredients are appropriate for your personal use.,sephora,False,,,https://www.sephora.com/product/the-porefessional-pearl-primer-P427305?icid2=products grid:p427305,,sephora/open-dataset
